F1	F2	A1
ordinateur	[ɔrdinatœr]	n.m. 电脑，电子计算机
ordonnance	[ɔrdɔnɑ̃s]	n.f. 药方
parc	[park]	n.m. 公园
parce que	[parsk]	conj. 因为
parcheminé, e	[]	adj. 羊皮纸似的，干瘪多皱的
parcourir	[parkuri:r]	v.t. 跑遍，经过，浏览，扫视
parcours	[parkur]	n.m. 通行，航路，行程，航线，路程
pardessus	[pardəsy]	n.m. (男式)外套，大衣
pardon	[pardɔ̃]	n.m. 对不起
pardonner	[pardɔne]	v.t. 原谅，宽恕
pare-brise	[parbriz]	n.m.inv. (车辆，飞机等前部的)挡风玻璃
pare-chocs	[par∫ɔk]	n.m.inv. (车辆的)缓冲器，减震器
pareil, le	[]	adj. 相同的，同样的
parenthèse	[parɑ̃tεz]	n.f. 圆括弧，插人语
parents	[parɑ̃]	n.m.pl. 父母亲
parère	[parε:r]	adj. 装饰精美的
paresse	[parεs]	n.f. 懒惰，迟缓
paresseux, se	[]	adj. 懒惰的，迟缓的
parfait,e	[]	adj. 完美的，理想的
parfois	[parfwa]	adv. 有时
parfum	[parfœ̃]	n.m. 香水，香料
parfumé ,e	[]	adj. 芳香的，加香料的
rapt	[rapt]	n.m. 诱拐，劫持，绑架
raquette	[rakεt]	n.f. 球拍
rare	[rɑr]	adj. 少有的，难得的
rarissime	[rarisim]	adj. 非常罕见的，稀有的
raser	[rɑze]	v.t. 刮，剃
ras-le-bol	[ralbɔl]	受够了
rassurer	[rasyre]	v.t. 使放心，使安心
rat	[ra]	n.m. 鼠
ratatiner	[ratatine]	v.t. 使干瘪，使枯萎，打败，击败
rate	[rat]	n.f. 脾
rater	[rate]	v.t. 错过，未赶上，未击中，没搞好
rattraper	[ratrape]	v.t. 追上，弥补，重新逮住
ravager	[ravaʒe]	v.t. 破坏，蹂嘴，干扰，扰乱
ravi,e	[ravin]	adj. 狂喜的，偷快的，心花怒放的
ravin	[ravɛ̃]	n.m. 隘谷，沟壑
ravir	[ravir]	v.t. 抢夺，夺取，劫持
ravissant, e	[]	adj. 迷人的，极美的，令人陶醉的
rayon	[rεjɔ̃]	n.m. 光线，柜台，射线
réacteur	[reaktœr]	n.m. 反应堆，反应器，喷气发动机
réaction	[reaksjɔ̃]	n.f. 反应，反抗，对抗
satire	[satir]	n.f. 讽刺，讽刺作品
satisfaction	[satisfaksjɔ̃]	n.f. 满意，称心
satisfaire	[satisfεr]	v.t. 使满意，令人满意
satisfaisant,e	[]	adj. 令人满意的
satisfait ,e	[]	adj. 满意的
satrape	[satrap]	n.m. 暴君
sauce	[sos]	n.f. 调味汁，调味品
sauf	[sof]	prêp. 除……以外，除非
Sauf votre respect !	[]	请恕我冒昧!
saule	[sol]	n.m. 柳，柳树
saumon	[somɔ̃]	n.m. 鲑鱼
saupoudrer	[sopudre]	v.t. 散布，点缀
saut	[so]	n.m. 跳跃
saute de courant	[]	n.f. 断电，跳电闸
sauter	[sote]	v.i. 跳跃，跨越
sauterelle	[sotrεl]	n.f. 蚱蜢，叫哥哥
sauvage	[sovaʒ]	adj. 野生的
sauvegarde	[sovgard]	n.f. 保护，保障，保护者
sauveteur	[sovtœr]	n.m. 救生员，援救员
sauveur	[sovœr]	n.m. 救命恩人
télécommunication	[telekɔmynikasjɔ̃]	n.f. 电信，电信机构
télégramme	[telegram]	n.m. 电报
téléphérique	[teleferik]	n.m. 架空索道
téléphone	[telefɔn]	n.m. 电话
téléspectateur， trice	[]	n. 电视观众
télévisé, e	[]	adj. 电视播出，放映的
téléviseur	[televizœr]	n.m. 电视接收机
télévision	[televizjɔ̃]	n.f. 电视
télex	[telεks]	n.m. 电传电报，用户直通电报
tellement	[tεlmɑ̃]	adv. 这样地，如此地
témoignage	[temwaɲaʒ]	n.m. 证据，证词，证明，表示，显示
témoigner (de)	[]	v. 证明，表现，显示
témoin	[temwɛ̃]	n.m. 证人，目击者，证据，范例
tempe	[tɑ̃p]	n.f. 太阳穴
température	[tɑ̃peratyr]	n.f. 温度，气温，体温
tempéré, e	[]	adj. 气候温和的，温暖的
tempête	[tɑ̃pεt]	n.f. 风暴，暴风雨
temple	[tɑ̃pl]	n.m. 庙宇，神殿，教堂
temporel, le	[]	adj. 短暂的，时态的
temps	[tɑ̃]	n.m. 时间，天气
véranda	[verɑ̃da]	n.f. 阳台，走廊
verbiage	[vεrbjaʒ]	n.m. 空话，废话
verdir	[vεrdir]	v. 变成绿色，发绿
verdure	[vεrdyr]	n.f. 一片绿色(指大自然)
véridique	[veridik]	adj. 真实的，确切的，诚实的
vérifier	[verifje]	v.t. 检查，核实
véritable	[veritabl]	adj. 真正的，确实的
vérité	[verite]	n.f. 事实，真理，道理
vermeil, le	[]	adj. 鲜红的，朱红的
verni, e	[]	adj. 涂釉的，上光的
vernis	[vεrni]	n.m. 清漆
vernissage	[vεrnisaʒ]	n.m. 开幕式，上釉
vérole	[verɔl]	n.f. 梅毒
verre	[vεr]	n.m. 玻璃，玻璃杯
verre (prendre un~)	[]	喝一杯
verrou	[vεru]	n.m. 拴，插销，锁扣
vers	[vεr]	prêp. 朝向，将近，左右
verser	[vεrse]	v.t. 缴，缴纳，交付，倒，灌
version	[vεrsjɔ̃]	n.f. 译文，说法，版本
vert	[vεr, -t]	adj. 翡翠绿
abonner (s)	[]	v.pr. 预约，预订
aborder qqn	[]	v.t. 上前与某人交谈
aboutir	[abutir]	v.t.indir 通向，导致
abrégé	[abreʒe]	n.m. 摘要，节略
abri	[abri]	n.m. 隐藏处，保护
abriter	[abrite]	v.t. 掩护，保护
abrupt,e	[]	adj. 陡峭的，险峻的
absolument	[apsɔlymɑ̃]	adv. 绝对地，完全地
absorber	[atsɔrbe]	v.t. 吸收，消耗，吸引住
absoudre	[apsudr]	v.t. 宽恕，免诉
abstrait ,e	[]	adj. 抽象的
abus	[aby]	n.m. 滥用，恶习
abuser	[abyze]	v.t. 欺骗，愚弄
accablant ,e	[]	adj. 沉重的，难以忍受的
accabler	[akable]	v.t. 压坏，制服，使难以忍受
accéder à	[]	v.t.,indir. 通向，登上，终于到达
accélérer	[sakselere]	v.t. 加速，促进
accent	[aksɑ̃]	n.m. 重音，口音
acceptable	[aksεptabl]	adj. 可以接受的
accepter	[aksεpte]	v.t. 接受
bâtiment	[bɑtimɑ̃]	n.m. 楼房，建筑物
bâtir	[bɑtir]	v.t. 建筑，建造
battement	[batmɑ̃]	n.m. 拍击，跳动
batterie	[batri]	n.f. 打击乐器，电池组，一套
batteuse	[batøz]	n.f. 脱粒机
battre(un record)	[]	v.t. 打破记录
baudet	[bodε]	n.m. 驴，蠢人
bavard ,e	[]	adj. 话多的，嘴快的
bavarder	[bavarde]	v.i. 聊天，闲谈
beau(bel) , belle	[]	adj. 美丽的
beaucoup	[boku]	adv. 很多，非常
beaux-parents	[boparɑ̃]	n.m.pL 公婆，岳父母
bébé	[bebe]	n.m. 婴儿，娃娃
bec	[bεk]	n.mm 晓，鸟嘴， (俗)人嘴
bêche	[bε∫]	n.f. 锹，铲
Beebtboven	[]	贝多芬
bégayer	[begεje]	v.i. 口吃，结巴
beignet d'aubergine	[]	n.m. 茄子馅炸糕
belge	[bεlʒ]	adj.,n. 比利时的；比利时人
belgicisme	[bεlʒisism]	n.m. 比利时法语特有的词和表达方式
capitalisme	[kapitalism]	n.m. 资本主义，资本家
Capitole	[kapitɔl]	n.m. 某个大厦作为政治中心的象征，神殿所在地
capot	[kapo]	n.m. 防护罩
caprice	[kapris]	n.m. 任性，无法预测
capricieux, se	[]	adj. 任性的，反复无常的
captiver	[kaptive]	v.t. 俘获，吸引
capturer	[kaptyre]	v.t. 捕捉，截获
car	[kar]	conj. 因为
caractère	[karaktεr]	n.m. 特点，性格，符号,文字,字体
caractéristique	[karakteristik]	n.t. 特点，特性
carafe	[karaf]	n.f. 长颈玻璃瓶
caravane	[karavan]	n.f. 旅行挂车，结队月
carboniser	[karbɔnize]	v.t. 炭化，烧焦
carburant	[karbyrɑ̃]	n.m. 碳氢燃料
cardinal , aie	[]	adj. 基本的，主要的
cargo	[kargo]	n.m. 货船，货轮
caricature	[karikatyr]	n.f. 漫画
carnet	[karnε]	n.m. 笔记本
carnet de chèques	[]	n.m. 支票簿
carnet de timbres	[]	m.m. 邮票册
décision	[desizjɔ̃]	n.f. 决定
déclaration	[deklarasjɔ̃]	n.f. 申报，宣布，声明
déclarer	[deklare]	v.t. 开动，发动
déclencher	[deklɑ̃∫e]	v.t. 跳间装置，起动装置
déclencheur	[deklɑ̃∫œr]	n.m. 快门
déclin	[deklɛ̃]	n.m. 衰落
décliner	[dekline]	v.t. 谢绝，拒绝接受
décocher	[dekɔ∫e]	v.t. 发射
décollage	[dekɔlaʒ]	n.m. 起飞
décoloré ,e	[]	adj. 褪色的
décombres	[dekɔ̃br]	n.m.pl. 瓦砾
décommander	[dekɔmɑ̃de]	v.t. 取消，取消订贷
décompression	[dekɔ̃prεsjɔ̃]	n.f. 降压，减压
déconcertant ,e	[]	adj. 令人张皇失措的，令人困惑的
déconcerté, e	[]	adj. 不和谐的
décontracté	[dekɔ̃trakte]	adj. 放松的
décor	[dekɔr]	n.m. 装饰，稍景
décoration	[dekɔrasjɔ̃]	n.f. 装饰，布景
décorer	[dekɔre]	v.f. 装饰，装演
découpage	[dekupaʒ]	n.m. 切开，剪纸
effectivement	[εfεktivmɑ̃]	adv. 事实上，实际上，确实
effectuer	[efεktɥe]	v.t. 实行
efficace	[efikas]	adj. 有效的
efficacité	[εfikasite]	n.f. 有效，效能，效率
effleurer	[eflœre]	v.t. 擦伤，触及
effluve	[εflyv]	n.m. 散发出的气味
effondrement	[efɔ̃drəmɑ̃]	n.m. 倒塌，崩溃
effondrer	[sεfɔ̃dre]	v.t. 深翻
effondrer(s')	[]	v.pr. 倒塌，崩溃
efforcer (s')	[]	v.pr. 努力
effort	[efɔr]	n.m. 努力
effrayant, e	[]	adj. 恐怖的，吓人的
effrayé ,e	[]	adj. 受惊的，惊恐的
effrayer	[sεfrεje]	v.t. 使害怕
effroi	[efrwa]	n.m. 恐惧
effronté ,e	[]	adj. 厚颜无耻的(人)，无礼的(人)
égal , aie	[]	adj. 相等的
égal i taire	[]	adj. 平均主义的
égaliser	[egalize]	v.t. 使相等
égalité	[egalite]	n.f. 平等，相同
fast food	[]	n.m. 快餐
fastueux, se	[]	adj. 钟爱的，摆阔的
fatigant,e	[]	adj. 累人的，令人讨厌的
fatigué,e	[fatig]	adj. 疲劳的
fatiguer(se)	[]	v.t. 疲劳
fauché ,e	[]	n. (俗)身无分文的人
faucon	[fokɔ̃]	n.m. (鸟)隼
faufiler	[fofile]	v.t. 粗缝，疏缝
faune	[fon]	n.f. 动物志
faussaire	[fosεr]	n. 作假者，造赝品者
fausseté	[foste]	n.f. 错误，虚假，虚伪
faute	[fot]	n.f. 错误，失误
faute de	[fotdə]	loc.prép. 缺乏
fauteuil	[fotœj]	n.m. 扶手椅，单人沙发
fauve	[fov]	adj. 浅黄褐色的
faux,sse	[]	adj. 错误的，假造的，虚假的
faux-filet	[fofilε]	n.m. (牛)里脊肉， (用里脊肉做成的)牛排
favorable	[favɔrabl]	adj. 有利的，顺利的
favori,te	[favɔrit]	adj.,n. 特别受喜爱的(人)
favorisé,e	[favɔrize]	adj. 有利的，受惠的
gisement	[ʒizmɑ̃]	m.m. 矿床，矿层
glace	[glas]	n.f. 冰淇淋，冰，镜子
glacier	[glasje]	n.m. 玻璃或镜子商，冷饮商
glacière	[glasjεr]	n.f. 冰窖，冰库，制冰器，冰川
glaïeul	[glajœl]	n.m. 菖兰
glaner	[glane]	v.t. 拾取，采集
glas	[glɑ]	n.m. 丧钟
glisser	[glise]	v. 滑脱，擦过，掠过
global ,e	[]	adj. 总体的，全部的
globalement	[glɔbalmɑ̃]	adv. 总共地，全部地
globe	[glɔb]	n.m. 地球，球状体
gloire	[glwar]	n.f. 光荣
glorieux,se	[]	adj. 光荣的，辉煌的
glouton, ne	[]	adj. 贪婪的，暴食的
golf	[gɔlf]	n.m. 高尔夫球
golfe	[gɔlf]	n.m. 海湾
gomme	[gɔm]	n.f. 橡皮
gommé ,e	[]	adj. 涂有树胶的
gond	[gɔ̃]	n.m. 铰链，挂钩
gonfler (se)	[]	v.pr. 膨胀，鼓起来
hisser	[ise]	v.t. 吊起，升起
historien, ne	[]	n. 历史学家
historique	[istɔrik]	adj. 历史的
hiver	[ivεr]	n.m. 冬天
hivernal, aie	[]	adj. 冬季的，冬天的
HLM	['a∫εlεm]	低租金住房
hocher la tête	[]	点头，摇头
hochet	[ɔ∫ε]	n.m. (幼儿玩具)拔浪鼓
hockey	[ɔkε]	n.m. 曲棍球
homard	[ɔmar]	n.m. 鳌虾，龙虾
homicide	[ɔmisid]	n.m. 杀人
hommage à qqn (rendre～) n. m,	[]	n.m. 向某人敬意
homme	[ɔm]	n.m. 男人
homme d'affaires	[]	n.m. 商人，生意人
homme de sciences	[]	n.m. 科学家
homologue	[ɔmɔlɔg]	n.m. 对等者，对应者
honnête	[ɔnεt]	adj. 诚实的，正直的
honte	[ɔ̃t]	n.f. 耻辱，羞耻
honteux, se	[]	adj. 羞愧的，感到惭愧的
hôpital	[opital]	n.m. 医院
inattention	[inatɑ̃sjɔ̃]	n.f. 不注意，不当心，疏忽
inaugurer	[inogyre]	v.t. 为……举行开幕典礼
incandescent, e	[]	adj. 白热的，炽热的事热烈的
incapable	[ɛ̃kapabl]	adj. 无能力的，不会的
incarcérer	[ɛ̃karsere]	v.t. 监禁
incendie	[ɛ̃sɑ̃di]	n.m. 火灾
incertitude	[ɛ̃sεrtityd]	n.f. 不确定，犹豫
incessant , e	[]	adj. 不停的，不断的
incident	[ɛ̃sidɑ̃]	n.m. 事件，事端
incinérer	[ɛ̃sinere]	v.t. 焚化，烧尽
incliné ,e	[]	adj. 倾斜的
incognito	[ɛ̃kɔɲito]	adv. 隐姓埋名地
incolore	[ɛ̃kɔlɔr]	adj. 无色的，乏味的
incommodé ,e	[]	adj. 不方便的，引起麻烦的，令人烦恼的
incomparable	[ɛ̃kɔ̃parabl]	adj. 无可比拟的
incompétent ,e	[]	adj. 无能力的，不够胜任的
incompréhension	[ɛ̃kɔ̃preɑ̃sjɔ̃]	n.f. 不理解
inconscient, e	[]	adj. 无知觉的
inconsolable	[ɛ̃kɔ̃sɔlabl]	adj. 孤独的，郁郁不乐的
inconvénient	[ɛ̃kɔ̃venjɑ̃]	n.m. 缺点，缺陷，弊病
lettre	[lεtr]	n.f. 信，字母
lettres	[lεtr]	n.f.pl 文学，文科
lettres de créances	[]	n.f.pl 国书
leurrer	[lœre]	v.t. 引诱，诱骗
levé,e	[l(ə)ve]	adj. 起床的，举起的，竖起的
levée	[ləve]	n.f. 收取，开邮筒收信，举起，解除
lever (se)	[]	v.pr. 起床，站起，起身
lever Le doigt	[]	v.t. 举手
levier	[l(ə)vje]	n.m. 操纵杆，杠杆，手柄
lèvre	[lεvr]	n.f. 嘴唇
l'Humanité	[ymanite]	《人道报》
liaison	[ljεzɔ̃]	n.f. 联结，交情，关系
liane	[ljan]	n.f. 藤
libellule	[libεlyl]	n.f. 蜻蜓
libéralisme	[liberalism]	n.m. 自由放任主义
Libération	[liberasjɔ̃]	《解放报》
libérer	[libere]	v.t. 解放
liberté	[libεrte]	n.f. 自由
libertin	[libεrtɛ̃]	n.m. 放纵者，放荡的人
librairie	[librεri]	n.f. 书店
manoir	[manwar]	n.m. 小城堡， (中世纪)庄园
manque	[mɑ̃k]	n.m. 缺少
manquement	[mɑ̃kmɑ̃]	n.m. 违犯，过失，缺乏，不足
manquer de	[]	v.t. 缺少
mansarde	[mɑ̃sard]	n.f. 复折屋顶
manteau	[mɑ̃to]	n.m. 大衣，外套，披风
maquette	[makεt]	n.f. 模型，草图，雏型
maquillage	[makijaʒ]	n.m. 化妆，化妆品
maquiller	[makije]	v.t. 化妆，涂改
maquiller(se)	[]	化妆
maquis	[maki]	n.m. 丛林，错综复杂
marais	[marε]	n.m. 沼泽，沼泽地
marais salant	[]	n.m. 盐田
marâtre	[marɑtr]	n.f. 后母，后娘，虐待子女的母亲
maraudeur,se	[]	n. 偷农作物的人
marchand, e	[]	n. 商人
marche	[mar∫]	n.f. 行走，步行
marché	[mar∫e]	n.m. 市场
marche arrière	[]	n.f. 倒退
marché aux puces	[]	n.m. 跳蚤市场
normalement	[nɔrmalmɑ̃]	adv. 止常地
normand, e	[]	n. 诺曼底的(人)
Normandie	[]	诺曼底
nostalgie	[nɔstalʒi]	n.f. 思乡病，怀念，忧伤
nostalgique	[nɔstalʒik]	adj. 思乡的，想家的，怀旧的
notable	[nɔtabl]	n.m. 显著人物，知名
notaire	[nɔtεr]	n.m. 公证人
notamment	[nɔtamɑ̃]	adv. 特别是，尤其
noter	[nɔte]	v.t. 标出，记录，注意
notes	[]	n.f.pl 笔记，日记，摘录，分数
Notre-Dame de Paris	[]	巴黎圣母院
noueux , se	[]	adj. 多节的，于瘪的，棘手的
nounours	[nunurs]	n.m. 小狗熊
nourrice	[nuris]	n.f. 奶妈，保姆
nourrir	[nurir]	v.f. 赡养，扶养，供给，喂养，饲养
nourrisson	[nurisɔ̃]	n.m. 乳儿，第子，门生
nourriture	[nurityr]	n.f. 食物
nouveau	[nuvo, -εl]	adj. 新的
nouveau-né	[nuvone]	n.m. 新生儿
nouveauté	[nuvote]	n.f. 新，新颖，新生事物，新服饰
ordonné, e	[]	adj. 井井有条的，有序的，有条理的
ordonner	[ɔrdɔne]	v.t. 整理，安排，命令，开处方
ordre	[ɔrdr]	n.m. 命令，顺序，秩序，种类
ordures	[ɔrdyr]	n.f.pl 垃圾
ordurîer,ère	[]	adj. 下流的，淫秽的，粗鲁的
oreille	[ɔrεj]	n.f. 耳朵
organe	[ɔrgan]	n.m. 器官，部件，构件
organiser	[ɔrganize]	v.t. 组织，筹备，安排
orge	[ɔrʒ]	n.f. 大麦
orgue	[ɔrg]	n.m. 管风琴
orgueil	[ɔrgœj]	n.m. 骄傲，傲慢，得意，自豪
orgueilleux, se	[]	adj. 傲慢的，骄傲的，以……得意的，自大的
orientation	[ɔrjɑ̃tasjɔ̃]	n.f. 定位，定向，方向，就业指导
orienter	[ɔrjɑ̃te]	v.t. 为……定方向，指引
original ,e	[]	adj. 最初的，原始的，独创的，新颖的
originalité	[ɔriʒinalite]	n.f. 独创性，新颖，古怪之处
origine	[ɔriʒin]	n.f. 出身，根源，出处，起点，产地
orner	[ɔrne]	v.t. 装饰，点缀，增添
ornithorynque	[ɔrnitɔrɛ̃k]	n.m. 鸭嘴兽
orphelin, e	[]	n. 孤儿
parfumerie	[parfymri]	n.f. 化妆品商店，化妆品厂
parier	[parje]	v.t. 打赌，担保
Parisien (le~)	[]	n.m. 《巴黎人报》
parisien ,ne	[]	adj. 巴黎的
parité	[parite]	n.f. 同等，相同，类似
parking	[parkiŋ]	n.m. 停车场
parlement	[parləmɑ̃]	n.m. 议会，国会
parler	[parle]	v.t. 说，讲，讲话，说话
parmi	[parmi]	prép. 在……之中
paroi	[parwa]	n.f. 隔板，墙壁
parole	[parɔl]	n.f. 话，发言，语气
parrain	[parɛ̃]	n.m. 典礼主持人，教父，介绍人，命名者
parrainage	[parεnaʒ]	n.m. (人会的)介绍， (对某事的)支持
parrainer	[parene]	v.t. 做介绍人，做支持者
part	[par]	n.f. 方面，份额，部分
part (à~)	[]	loc.prép. 除……之外
partager	[partaʒe]	v.t. 分割，分开，分配，分享
partant	[partɑ̃]	conj. 从而，因此
partenaire	[partənεr]	n. 搭档，合作者，伙伴，交谈者
parti	[parti]	n.m. 党，政党
réagir	[reaʒir]	v.i. 起反作用，抵抗
réalisateur, tice	[]	n. 导演，实现者
réalisation	[realizasjɔ̃]	n.f. 实现，实施
réaliser	[realize]	v.t. 实现，实施
rebelie	[rəbεl]	adj.,n. 造反的，反叛的，反抗的，造反者，叛乱分子
rebondir	[rəbɔ̃dir]	v.i. 跳起来，弹回，重新启动
rebondissement	[rəbɔ̃dismɑ̃]	n.m. 跳起来，弹回，死灰复燃，重新活跃
rebuter	[r(ə)byte]	v.t. 使扫心，使灰心，严词拒绝
récapituler	[rekapityle]	v.t. 回顾，摘要重述
récemment	[resamɑ̃]	adv. 最近，近来
recentre	[rəsɑ̃tre]	adj. 近期的，最近的
récepteur	[resεptœr]	n.m. 接收机，接收器，电话听筒
recette	[r(ə)sεt]	n.f. 烹饪法，菜谱，秘方，收入，秘诀
receveur,se	[]	n. 税务员，售票员
recevoir	[rəsəvwar]	v.t. 接待，收到
réchaud électrique	[]	n.m. 电炉子，电加热器，火锅
réchauffer (se)	[]	v.pr. 取暖，重新烧热
recherche	[r(ə)∫εr∫]	n.f. 研究。探讨，追溯
recherché, e	[]	adj. 稀有的，珍贵的，讲究的，矫饰的
rechercher	[rə∫εr∫e]	v.t. 探索，追求，追查，仔细寻找
savane	[savan]	n.f. 萨王纳稀树草原
savant, e	[]	adj. 博学的，精通的
saveur	[savœr]	n.f. 滋味，风味，风趣
savoir	[savwar]	v.t. 知道，会，懂得，可能
savoîr-faire	[savwarfεr]	n.m. 能力，本事，专业技术
savon	[savɔ̃]	n.m. 肥皂
savourer	[savure]	v.t. 品尝，享受
savoureux, se	[]	adj. 美味可口的，饶有趣味的
saxophone	[saksɔfɔn]	n.m. 萨克管
scalaire	[skalεr]	n.m. 神仙鱼
scandale	[skɑ̃dal]	n.m. 丑闻，公愤
scarabée	[skarabe]	n.m. 金龟子
scénario	[senarjo]	n.m. 剧情概要，剧情，方案，步骤
scène	[sεn]	n.f. 舞台，戏剧，布景， (戏)场
scénique	[senik]	adj. 舞台的，戏剧的
sceptique	[sεptik]	adj. 怀疑的
scie	[si]	n.f. 锯，锯条，锯子
science	[sjɑ̃s]	n.f. 科学
science-fiction	[sjɑ̃sfiksjɔ̃]	n.f. 科学幻想
science-humaines	[]	n.f.pl 人文科学
temps en temps (de～)	[]	adv. 有时，经常地
tenace	[tənas]	adj. 坚韧的，顽固的，粘的
tenaille	[tənaj]	n.f. 钳子，折磨
tenaille ,e	[]	adj. 受折磨的，使难受的
tendance	[tɑ̃dɑ̃s]	n.f. 倾向，趋势，意向
tendre	[tɑ̃dr]	adj. 温柔的，柔和的
tendrement	[tɑ̃drəmɑ̃]	adv. 温柔地，温情地
tendresse	[tɑ̃drεs]	n.f. 温存，温情，温柔，亲热
ténèbres	[tenεbr]	n.f.pl 黑暗
tenir (à)	[]	v.t.indir. 坚持要，一心想要
tenir compte de	[]	考虑，重视，顾及
tenir un conseil	[]	开会，主持会议
tennis	[tenis]	n.m. 网球
tension	[tɑ̃sjɔ̃]	n.f. 紧张，压力，血压
tentative	[tɑ̃tativ]	n.f. 企图，试图
tente	[tɑ̃t]	n.f. 帐篷
tenter	[tɑ̃te]	v.t. 试图，尝试，引诱
tenue de route	[]	n.f. 管理道路
terminal	[tεrminal]	n.m. 终点站，终端设备
terminale	[tεrminal]	n.f. 毕业班
vert, e	[]	adj. 绿色的
vertige	[vεrtiʒ]	n.m. 头晕，眩晕
vertu	[vεrty]	n.f. 道德，德，善，功效，效力
veste	[vεst]	n.f. 上装
vestiaire	[vεstjεr]	n.m. 衣帽间，更衣室
vestige	[vεstiʒ]	n.m. 遗迹，足迹
vestimentaire	[vεstimɑ̃tεr]	adj. 衣服的，服装的
vétérinaire	[veterinεr]	n.m. 兽医
veterrient	[]	n.m. 衣服，服装，衣着
vêtu,e	[vety:r]	adj. 穿了衣服的
veuf,ve	[vœv]	n. 鳏夫，寡妇
veuvage	[vœvaʒ]	n.m. 鳏居，寡居
viande	[vjɑ̃d]	n.f. 肉，肉类
vice versa	[visvεrsa]	loc.adv. 反之亦然，反过来
victime	[viktim]	n.f. 遇难者，伤亡者，栖牲品
victoire	[viktwar]	n.f. 胜利
vide	[vid]	adj. 空的
vide-ordures	[vidɔrdyr]	n.m. 垃圾道
vider	[vide]	v.t. 清空
vie	[vi]	n.f. 生活
accès	[aksε]	n.m. 通向，进人，通道
accessible	[aksεsibl]	adj. 可达到的，易接近的，可理解的
accession	[aksεsjɔ̃]	n.f. 获得，加人
accessoire	[aksεswar]	n.m. 附件
accident	[aksidɑ̃]	n.m. 意外事故
acclamation	[aklamasjɔ̃]	n.f. 欢呼，喝彩
acclamer	[aklame]	v.t. 欢呼,喝彩
accoler	[akɔle]	v.t. 拥抱，使连接
accommodant ,e	[]	adj. 随和的，好商量的
accompagner	[akɔ̃paɲe]	v.t. 陪同，伴随
accomplir	[akɔ̃plir]	v.t. 完成，实现
accord	[akɔr]	n.m. 和睦，协议，和音
accorder	[akɔrde]	v.t. 给予
accoster	[akɔste]	v.t. 走近，靠岸
accouder(s')	[]	v.pr. 用肘依靠，用肘支撑
accourir	[akurir]	v.i. 跑来，赶来
accroc	[akro]	n.m. 裂缝，困难
accrocher	[akrɔ∫e]	v.t. 钩住，悬挂
accrocher(s')	[]	v.pr. 紧紧抓住
accroissement	[akrwasmɑ̃]	n.m. 增长
belgique	[]	n.f. 比利时
belle-sœur	[bεlsœr]	n.f. 嫂子，弟媳妇
bénéfice	[benefis]	n.m. 利润
bénéficier	[benefisje]	v.i. 得到好处，享有
bénéficier de	[]	v.t.ind. 享受……
bénévole	[benevɔl]	n. 自愿者
bénit,e	[benitje]	adj. 祝圣过的
bercail	[bɛrkaj]	n.m. 羊圈，老家
berceau	[bεrso]	n.m. 摇篮，发源地
bercer	[bεrse]	v.t. 摇动，安慰
berge	[bεrʒ]	n.f. (年)岁
berger, ère	[]	n. 牧羊人
bergerie	[bεrʒəri]	n.f. 羊舍
bermuda	[bεrmyda]	n.m. 齐膝短裤
berner	[bεrne]	v.t. 愚弄，欺骗
besogne	[bəzɔɲ]	n.f. 男活，工作，活计
besoin	[bəzwɛ̃]	n.m. 需要
bête	[bεt]	n.f. 兽类，傻瓜
bêtise	[betiz]	h.f. 愚矗，蠢事
béton	[betɔ̃]	n.m. 混凝土
carotte	[karɔt]	n.f. 胡萝卜
carottes râpées	[]	n.f.pl 胡萝卜丝
carré	[kare]	n.m. 正方形，四方形
carreau	[karo]	n.m. 方砖地，门宙玻璃，小方块
carrefour	[karfur]	n.m. 十字路口(法国连锁超市名)
carrelage	[karlaʒ]	n.m. 方砖贴面，石板贴面，瓷砖贴面
carrière	[karjεr]	n.f. 生涯，职业
carriériste	[karjerist]	n. (从事政治或工会等活动的)野心家
carrosse	[karɔs]	n.m. 四轮华丽马车
carrosserie	[karɔsri]	n.f. 车身，汽车车身制造业
carrossier	[karɔsje]	n.f. 华丽马车的制造者
carrure	[karyr]	n.f. 肩宽，宽阔的外形
cartable	[kartabl]	n.m. (学生的)书包
carte	[kart]	n.f. 地图，卡片
carte des vins	[]	n.f. 酒单
carte d'identité	[]	n.f. 身份证
carton	[kartɔ̃]	n.m. 纸板，纸板箱
cas	[kɑ, ka]	n.m. 情况，病例
cascade	[kaskad]	n.f. 瀑布
cascadeur,se	[]	adj.,n. 品行不端的(人)
découper	[dekupe]	v.t. 切割，勾划…的轮廓
decourager	[dekuraʒe]	v.t. 使泄气
découvert	[dekuvεr, -t]	n.m. 透支金额，空地
découverte	[dekuvεrt]	n.f. 发现
découvrir	[dekuvrir]	v.t. 发现
décrépitude	[dekrepityd]	n.f. 衰败
décrire	[dekrir]	v.t. 描写．叙述
décrocher	[dekrɔ∫e]	v.t. 事起(电话听筒)，从钩上取下
décroissant ,e	[]	adj. 递减的，逐渐下降的
déçu,e	[]	adj. 失望的
décuple	[dekypl]	adj. 十倍的
décupler	[dekyple]	v.t. 使增加到十倍
dédaigneux, se	[]	adj. 幅傲的，轻蔑的
dédain	[dedɛ̃]	n.m. 轻蔑
dedans	[dədɑ̃]	prép. 在里面
dedier	[dedje]	v.t. 奉献，页献
dédommager	[dedɔmaʒe]	v.f. 赔偿，补偿
